country,product_category,bin_min,bin_max,bin_count
Russia,tofu,7.738438364444445,9.733318666666667,2
Vietnam,tofu,1.1942445454545452,1.3538732525252521,2
Vietnam,tofu,1.3538732525252521,1.5135019595959593,6
Vietnam,tofu,1.5135019595959593,2.6731306666666663,1
Russia,onion,0.53610544,1.05606912,4
Russia,onion,1.05606912,1.5760328000000001,1
Russia,onion,1.5760328000000001,3.09599648,1
Vietnam,onion,0.7019306000000001,0.8783936,1
Vietnam,onion,0.8783936,2.0548566,2
Russia,sunflower_oil,1.2840852999999999,1.4818886566666665,4
Russia,sunflower_oil,1.4818886566666665,1.6796920133333333,10
Russia,sunflower_oil,1.6796920133333333,1.87749537,5
Russia,sunflower_oil,1.87749537,2.0752987266666665,4
Russia,sunflower_oil,2.0752987266666665,2.2731020833333333,5
Russia,sunflower_oil,2.2731020833333333,3.47090544,1
Vietnam,sunflower_oil,2.6665520000000003,2.8874575333333334,2
Vietnam,sunflower_oil,2.8874575333333334,3.108363066666667,2
Vietnam,sunflower_oil,3.108363066666667,4.329268600000001,5
Russia,green_tea,8.1460608,15.323800266666668,9
Russia,green_tea,15.323800266666668,22.501539733333335,19
Russia,green_tea,22.501539733333335,29.6792792,14
Russia,green_tea,29.6792792,36.85701866666667,12
Russia,green_tea,36.85701866666667,44.03475813333334,4
Russia,green_tea,44.03475813333334,51.2124976,3
Russia,green_tea,51.2124976,58.390237066666664,3
Russia,green_tea,58.390237066666664,65.56797653333334,0
Russia,green_tea,65.56797653333334,73.745716,3
Vietnam,green_tea,5.137034,11.11226725,8
Vietnam,green_tea,11.11226725,17.0875005,13
Vietnam,green_tea,17.0875005,23.06273375,8
Vietnam,green_tea,23.06273375,29.037967000000002,14
Vietnam,green_tea,29.037967000000002,35.013200250000004,8
Vietnam,green_tea,35.013200250000004,40.9884335,5
Vietnam,green_tea,40.9884335,46.96366675,3
Vietnam,green_tea,46.96366675,53.938900000000004,1
Russia,condensed_milk,3.3318484444444443,4.134401437037036,6
Russia,condensed_milk,4.134401437037036,4.93695442962963,7
Russia,condensed_milk,4.93695442962963,5.739507422222221,6
Russia,condensed_milk,5.739507422222221,6.542060414814815,4
Russia,condensed_milk,6.542060414814815,7.344613407407406,1
Russia,condensed_milk,7.344613407407406,9.1471664,3
Vietnam,condensed_milk,1.6717547368421053,2.248707129186603,7
Vietnam,condensed_milk,2.248707129186603,2.825659521531101,13
Vietnam,condensed_milk,2.825659521531101,3.4026119138755986,4
Vietnam,condensed_milk,3.4026119138755986,3.9795643062200963,1
Vietnam,condensed_milk,3.9795643062200963,4.556516698564593,0
Vietnam,condensed_milk,4.556516698564593,6.133469090909092,3
