id,name,parent_id,parent_name,slug,level
3525,Маски и уход за волосами,3510.0,Для волос,maski-i-uhod-za-volosami,3
3534,Урологические товары,3515.0,Женская гигиена и урология,urologicheskie-tovary,3
3538,Для губ,3511.0,Для лица,dlya-gub,3
3544,Дезодоранты роликовые,13929.0,Дезодоранты и антиперспиранты,dezodoranty-rolikovye,3
3563,"Электрические щетки, ирригаторы",3513.0,Уход за полостью рта,elektricheskie-shchetki-irrigatory,3
3568,Средства после бритья,3514.0,Бритье и депиляция,sredstva-posle-britya,3
3583,"Маски, антисептики",3521.0,Аптека,maski-antiseptiki,3
11215,Аксессуары для работы,1754.0,Садовый инвентарь,aksessuary-dlya-raboty,3
11240,Аксессуары для бани,1448.0,Товары для бани и сауны,aksessuary-dlya-bani,3
11314,Аксессуары,3007.0,"Спортивные игры, батуты",aksessuary,3
11316,Экипировка и защита,3010.0,Товары для фитнеса,ekipirovka-i-zashchita,3
11330,"Санки, снегокаты, лыжи",3027.0,Зимние виды спорта,sanki-snegokaty-lyzhi,3
13609,Завтраки,221.0,Без глютена,zavtraki,3
13611,Крупы и хлопья,3256.0,Диетическое питание,krupy-i-hlopya,3
13652,Сельдь,13646.0,Рыбные консервы,seld,3
13999,Другие сухофрукты,13996.0,Сухофрукты,drugie-suhofrukty,3
16826,Капуста,15629.0,"Консервы, соленья",kapusta,3
17379,Блюда из птицы,268.0,Вторые блюда,blyuda-iz-pticy,3
17406,Зонты,3259.0,Аксессуары,zonty,3
17426,"Швабры, щетки, совки",17414.0,Инвентарь для уборки,shvabry-shchetki-sovki,3
17433,"Пледы, покрывала",17429.0,Домашний текстиль,pledy-pokryvala,3
17452,Терки,2825.0,"Кухонные инструменты, аксессуары",terki,3
17459,Пакеты для хранения,2833.0,"Фольга, пакеты, бумага для запекания",pakety-dlya-hraneniya,3
17473,Чистящие средства для кухни,17461.0,"Салфетки, губки, средства для мытья посуды",chistyashchie-sredstva-dlya-kuhni,3
17995,Вода в больших бутылках,5.0,Вода,voda-v-bolshih-butylkah,3
18022,Игристые вина малого литража,17042.0,"Шампанское, игристые вина",igristye-vina-malogo-litrazha,3
18026,Крафтовое пиво,17059.0,"Пиво, сидр, медовуха",kraftovoe-pivo,3
18045,"Маркеры, текстовыделители",18031.0,Письменные принадлежности,markery-tekstovydeliteli,3
18049,Блокноты,18032.0,Бумажная продукция,bloknoty,3
18057,"Ножницы, ножи канцелярские",18033.0,Канцелярские мелочи,nozhnicy-nozhi-kancelyarskie,3
18068,"Скотч, клей",18035.0,Офисные принадлежности,skotch-klejj,3
18079,Научно-популярная литература,18037.0,Книги и журналы,nauchno-populyarnaya-literatura,3
18086,Фломастеры,18038.0,Творчество и рукоделие,flomastery,3
18213,Фильтры автомобильные,18201.0,Автозапчасти,filtry-avtomobilnye,3
18218,"Антифриз, тосол",18202.0,"Эксплуатационные жидкости, смазки",antifriz-tosol,3
18225,"Пылесосы, мойки",18203.0,"Автохимия, уход за авто",pylesosy-mojjki,3
18231,Сопутствующие товары,18204.0,Автомобильные аксессуары,soputstvuyushchie-tovary,3
18236,Яйцо перепелиное,135.0,Яйца,yajjco-perepelinoe,3
18257,Маринованный имбирь,162.0,Закуски и соленья,marinovannyjj-imbir,3
18266,Кочанные салаты,897.0,Зелень и салаты,kochannye-salaty,3
18270,Замороженные смеси,18261.0,Замороженные овощи и ягоды,zamorozhennye-smesi,3
18300,Лук репчатый,146.0,Овощи,luk-repchatyjj,3
18313,Национальные рассольные сыры,2991.0,Рассольный,nacionalnye-rassolnye-syry,3
18467,Покрытия для унитаза,11096.0,Туалетная бумага и полотенца,pokrytiya-dlya-unitaza,3
18819,"Ролики, антистатики",176.0,"Уход за обувью, одеждой",roliki-antistatiki,3
18822,Для стирки детского белья,1074.0,Средства для стирки,dlya-stirki-detskogo-belya,3
18836,"Саше, поглотители запаха",1085.0,"Освежители, ароматизаторы",sashe-poglotiteli-zapaha,3
18896,Прочие мясные консервы,1926.0,Мясная консервация,prochie-myasnye-konservy,3
19033,"ЛЕНТА KIDS, SUPER",19028.0,Бакалея,lenta-kids-super,3
19086,DELISSE,19081.0,Замороженные продукты,delisse,3
19192,BONVIDA,19188.0,"Молочная продукция, яйца",bonvida,3
19223,BONVIDA,19120.0,Сладости и выпечка,bonvida,3
19333,Лечебные смеси,19328.0,Детские смеси,lechebnye-smesi,3
19341,Детские супчики,19336.0,Мясное и овощное пюре,detskie-supchiki,3
19347,Каши детские жидкие,19342.0,Каши,kashi-detskie-zhidkie,3
19361,"Морс, компот, кисель",19356.0,"Вода, напитки",mors-kompot-kisel,3
19382,Сладости,19363.0,Снеки и печенье,sladosti,3
19394,"Молоко от 3,4%",128.0,Молоко и сливки,moloko-ot-34,3
19397,Снежок,127.0,Кисломолочные продукты,snezhok,3
19472,Йогурты питьевые,17390.0,Молочная продукция для детей,jjogurty-pitevye,3
19506,Зубные щетки,19501.0,Гигиена и уход,zubnye-shchetki,3
19522,"Мытье посуды, уборка",19514.0,Детская бытовая химия,myte-posudy-uborka,3
19535,"Игровые наборы, фигурки",19530.0,Игрушки и игры,igrovye-nabory-figurki,3
19546,Цветные карандаши,19542.0,Творчество и хобби,cvetnye-karandashi,3
19559,"Маркеры, корректоры",19554.0,Школьные принадлежности,markery-korrektory,3
19570,Книги для подростков,19565.0,Книги и учебники,knigi-dlya-podrostkov,3
19579,Повседневная одежда,19574.0,"Одежда, аксессуары",povsednevnaya-odezhda,3
19597,Подарочные пакеты,19592.0,Детский праздник,podarochnye-pakety,3
20066,Кухонная утварь,19965.0,Скидка 50% на посуду для приготовления,kuhonnaya-utvar,3
20100,"Газировка, соки, морсы",20081.0,Напитки,gazirovka-soki-morsy,3
20335,Сладкие пироги,20333.0,Пироги,sladkie-pirogi,3
20506,Творожки,20501.0,Молочный прилавок,tvorozhki,3
20527,Товары для выпечки,20522.0,Бакалея,tovary-dlya-vypechki,3
20546,"Выпечка, торты",20541.0,Кондитерские изделия,vypechka-torty,3
20561,Пшеничный,20555.0,Хлеб и выпечка,pshenichnyjj,3
20570,"БАДы, суперфуды",20565.0,Функциональное питание,bady-superfudy,3
20582,"Поп-корн, кукурузные палочки",20577.0,Снеки и орехи,pop-korn-kukuruznye-palochki,3
20589,Квас,20584.0,Напитки,kvas,3
20599,Косметические средства,20594.0,Детские товары,kosmeticheskie-sredstva,3
20606,Для интимной гигиены,20601.0,Уход и гигиена,dlya-intimnojj-gigieny,3
20613,"Инсектициды, репелленты",20608.0,Бытовая химия,insekticidy-repellenty,3
20657,Манка,20651.0,Крупы,manka,3
20702,Поп-корн,20697.0,"Чипсы, сухарики и другие снеки со скидками до 45%",pop-korn,3
431,Растительный белок,3256.0,Диетическое питание,rastitelnyjj-belok,3
584,Творожная масса,402.0,Творог,tvorozhnaya-massa,3
616,Травяной листовой,250.0,Чай,travyanojj-listovojj,3
640,Топленое молоко,128.0,Молоко и сливки,toplenoe-moloko,3
644,Кофейные напитки,243.0,Кофе,kofejjnye-napitki,3
675,Другие виды мяса,674.0,Другие виды мяса,drugie-vidy-myasa,3
738,Перья,31.0,Макароны,perya,3
746,Декор,33.0,Мука и другое для выпечки,dekor,3
837,Тарталетки,836.0,"Хлебцы, выпечка, сушки",tartaletki,3
844,Основные блюда,78.0,Замороженные блюда,osnovnye-blyuda,3
871,Премиум и импорт,5.0,Вода,premium-i-import,3
882,Ананасовый,877.0,Соки,ananasovyjj,3
903,Салаты в горшочках,897.0,Зелень и салаты,salaty-v-gorshochkah,3
1079,"Отбеливатели, пятновыводители",1074.0,Средства для стирки,otbelivateli-pyatnovyvoditeli,3
1145,Соусы для приготовления,285.0,"Соусы, кетчупы, майонез",sousy-dlya-prigotovleniya,3
1164,Морские коктейли в рассоле/масле,187.0,Морепродукты,morskie-koktejjli-v-rassolemasle,3
1198,"Джем, варенье, паста",222.0,Диабетические продукты,dzhem-varene-pasta,3
1227,Сайра,97.0,Рыбные консервы,sajjra,3
1245,"Повидло, пюре",1239.0,Варенье и мед,povidlo-pyure,3
1400,Ремни,3259.0,Аксессуары,remni,3
1463,"Чайники, кофеварки",1489.0,Посуда для приготовления,chajjniki-kofevarki,3
1627,Ливерная,764.0,Деликатесы,livernaya,3
1806,Уход за полостью рта,1802.0,Уход и красота,uhod-za-polostyu-rta,3
1835,Обогреватели масляные,1797.0,Климатическая техника,obogrevateli-maslyanye,3
1883,Манная,27.0,Крупы,mannaya,3
2676,Брюки и костюмы,2674.0,Женская одежда,bryuki-i-kostyumy,3
2710,Пододеяльники,2706.0,Постельные принадлежности,pododeyalniki,3
2828,"Прессы, молотки, скалки",2825.0,"Кухонные инструменты, аксессуары",pressy-molotki-skalki,3
2863,Антенны и аксессуары,2853.0,Аудио и видео техника,antenny-i-aksessuary,3
3213,Кукурузные хлопья,37.0,Сухие завтраки и хлопья,kukuruznye-hlopya,3
3217,Специи в мельницах,195.0,Специи,specii-v-melnicah,3
3262,Крекеры и галеты,1038.0,"Печенье, пряники, вафли",krekery-i-galety,3
3528,Сухие шампуни,3510.0,Для волос,suhie-shampuni,3
3536,Скрабы и пилинги,3511.0,Для лица,skraby-i-pilingi,3
3547,Дезодоранты стики,13929.0,Дезодоранты и антиперспиранты,dezodoranty-stiki,3
3562,Отбеливание и уход,3513.0,Уход за полостью рта,otbelivanie-i-uhod,3
4138,Соленья,269.0,Салаты и закуски,solenya,3
4141,"Фруктовый лед, щербет",85.0,Мороженое,fruktovyjj-led-shcherbet,3
11313,"Точные виды спорта, фрисби",3007.0,"Спортивные игры, батуты",tochnye-vidy-sporta-frisbi,3
11320,Надувные матрасы и аксессуары,3023.0,Туризм и рыбалка,naduvnye-matrasy-i-aksessuary,3
11331,Аксессуары,3027.0,Зимние виды спорта,aksessuary,3
13620,Сыр,13617.0,Фермерские продукты,syr,3
13651,Сайра,13646.0,Рыбные консервы,sajjra,3
17315,Шоколад без сахара,2632.0,Шоколад и батончики,shokolad-bez-sahara,3
17378,Голень куриная,141.0,Мясо птицы,golen-kurinaya,3
17434,"Скатерти, салфетки",17429.0,Домашний текстиль,skaterti-salfetki,3
18028,Разливное пиво,17059.0,"Пиво, сидр, медовуха",razlivnoe-pivo,3
