,name,price,uom,product_type,supermarket,weight,price_kg,number_of_units,price_unit,volume,price_lit
1131,"Чай черный ВКУСЫ МИРА Альпийский глинтвейн, листовой, 50г",2.69755344,50г,black_tea,Lenta,50.0,53.9510688,,,,
1133,"Чай черный ЛЕНТА Русские узоры с ароматом клубника со сливками, 20пир",3.23376944,20пир,black_tea,Lenta,40.0,80.84423600000001,,,,
1134,"Чай черный ЛЕНТА Русские узоры Клубника со сливками, листовой, 85г",4.19011344,85г,black_tea,Lenta,85.0,49.29545223529412,,,,
1135,"Чай черный ЛЕНТА Русские узоры с облепихой и грушей, листовой, 85г",4.19011344,85г,black_tea,Lenta,85.0,49.29545223529412,,,,
1136,"Чай черный ЛЕНТА Апельсиновый новый год ароматизированный с добавками растительного сырья, 20г",2.9093864,20г,black_tea,Lenta,20.0,145.46931999999998,,,,
1138,"Чай черный TEATALE Garden Flowers Purple байховый с чабрецом, среднелистовой, 50г",1.61760336,50г,black_tea,Lenta,50.0,32.3520672,,,,
1139,"Чай черный TEATALE Garden Flowers Pink с лесными ягодами байховый, среднелистовой, 50г",1.61760336,50г,black_tea,Lenta,50.0,32.3520672,,,,
1140,"Чай зеленый TEATALE Garden Flowers Blue с мятой, листовой, 50г",1.61760336,50г,green_tea,Lenta,50.0,32.3520672,,,,
1141,"Чай зеленый BASILUR Фруктовое вдохновение ассорти, 60г",7.21547728,60г,green_tea,Lenta,60.0,120.25795466666666,,,,
1142,"Чай зеленый BASILUR Цветочная гармония Цветущая вишня, 75г",9.7757152,75г,green_tea,Lenta,75.0,130.34286933333334,,,,
1143,"Чай зеленый BASILUR Цветочная гармония Бархатный персик, 75г",9.7757152,75г,green_tea,Lenta,75.0,130.34286933333334,,,,
1149,"Чай черный МАЙСКИЙ Ароматный бергамот, 25пак",1.08227184,25пак,black_tea,Lenta,37.5,28.860582399999995,,,,
1154,"Чай черный AKBAR Gold цейлонский крупнолистовой, 100г",3.23531728,100г,black_tea,Lenta,100.0,32.353172799999996,,,,
1158,"Чай черный ПРИНЦЕССА НУРИ Высокогорный листовой, 100г",1.44380304,100г,black_tea,Lenta,100.0,14.4380304,,,,
1159,"Чай черный ШАХ ГОЛД Индийский, 25пак",1.17624784,25пак,black_tea,Lenta,50.0,23.524956800000002,,,,
1160,Окорок свиной ЛЕНТА FRESH на кости,6.809279839999999,,pork_leg,Lenta,1500.0,4.539519893333333,,,,
1161,"Окорок свиной ЛЕНТА FRESH бескостный, весовой",5.12102864,,pork_leg,Lenta,1000.0,5.12102864,,,,
1162,"Окорок из свинины, бескостный, вакуумная упаковка, весовой",7.16882096,,pork_leg,Lenta,1400.0,5.1205864,,,,
1163,"Хлеб пшеничный HARRY'S Аmerican sandwich, 470г",1.39648336,470г,bread,Lenta,470.0,2.9712411914893617,,,,
1164,"Хлеб ХЛЕБНЫЙ ДОМ Тостовый, в нарезке, 500г",1.22157744,500г,bread,Lenta,500.0,2.44315488,,,,
1165,"Хлеб формовой ХЛЕБОЗАВОД №28 Украинский новый, в нарезке, 700г",0.59138544,700г,bread,Lenta,700.0,0.8448363428571428,,,,
1166,"Хлеб ХЛЕБОЗАВОД №22 8 злаков, в нарезке, 270г",1.2381614399999998,270г,bread,Lenta,270.0,4.585783111111111,,,,
1167,"Хлеб ХЛЕБОЗАВОД №22 Дарницкий, 700г",0.69641744,700г,bread,Lenta,700.0,0.9948820571428573,,,,
