,name,price,uom,supermarket,product_type,weight,price_kg,number_of_units,price_unit,volume,price_lit
2912,Nước mắm Cá Cơm Thuận Phát 40N chai 490ml,68900.0,CHA,Winmart,fish_sauce,,,,,490.0,140612.2448979592
2913,Nước mắm Cá Cơm Thuận Phát 60N chai 490ml,145000.0,CHA,Winmart,fish_sauce,,,,,490.0,295918.3673469388
2914,Nước mắm cá cơm Thuận Phát 40 độ đạm chai 610ml,82500.0,CHA,Winmart,fish_sauce,,,,,610.0,135245.90163934426
2915,Nước mắm Cá Cơm Than Thuận Phát chai 490ml,27200.0,CHA,Winmart,fish_sauce,,,,,490.0,55510.20408163265
2916,Nước mắm Khải Hoàn 38N chai 520ml,103200.0,CHA,Winmart,fish_sauce,,,,,520.0,198461.53846153844
2917,Đường mía thượng hạng Biên Hòa gói 500g,17800.0,G1,Winmart,sugar,500.0,35600.0,,,,
2919,Đường mía thượng hạng Biên Hòa gói 1kg,30800.0,G1,Winmart,sugar,1000.0,30800.0,,,,
2923,Đường trắng cao cấp Biên Hòa Daily gói 1kg,34800.0,G1,Winmart,sugar,1000.0,34800.0,,,,
2926,Đường túi Biên Hòa Pure 1kg,32900.0,G1,Winmart,sugar,1000.0,32900.0,,,,
2990,Muối biển Visaco Mặt trời (tinh) 450g,7300.0,G1,Winmart,salt,450.0,16222.22222222222,,,,
3210,Trứng gà Ba Huân hộp 10 quả,33800.0,HOP,Winmart,egg,,,10.0,3380.0,,
3211,Trứng gà hộp 6 quả Ba Huân,20500.0,HOP,Winmart,egg,,,6.0,3416.6666666666665,,
3213,Trứng Gà Sạch O'LALA hộp 10_Size L,30500.0,HOP,Winmart,egg,,,10.0,3050.0,,
3216,Trứng Gà Ta O'LALA Sạch giỏ 10,43000.0,HOP,Winmart,egg,,,10.0,4300.0,,
3217,Tàu hũ bổ dưỡng Tafu gói 300g,10400.0,CAI,Winmart,tofu,300.0,34666.666666666664,,,,
3221,Tàu hũ mềm Ichiban hộp 300g,12800.0,HOP,Winmart,tofu,300.0,42666.666666666664,,,,
3222,Đậu hũ đậu hũ Làng Mơ Thai corp,15900.0,HOP,Winmart,tofu,,,,,,
