category_code,name,price,uom,supermarket
MENU0135,Sữa dinh dưỡng Vinamilk Sure Prevent 200ml,26900.0,CHA,Winmart
MENU0138,Bơ mặn Président gói 200g,120900.0,ME,Winmart
MENU0138,Bơ nhạt Président gói 200g,120900.0,ME,Winmart
MENU0138,Bơ lạt Paysan Breton hộp 250g,165500.0,HOP,Winmart
MENU0138,Bơ mặn Paysan Breton hộp 250g,165500.0,HOP,Winmart
MENU0138,Phô mai Vinamilk hộp 120g (8 miếng),33900.0,HOP,Winmart
MENU0138,Phô mai Emmental sợi gói 70g,51900.0,G1,Winmart
MENU0138,Phô mai Emmental gói 220g,145900.0,G1,Winmart
MENU0138,Phô mai cheddar Kiwifood gói 200g,89900.0,G1,Winmart
MENU0138,Phô mai gói Edam 200g,100900.0,G1,Winmart
MENU0138,Bơ mặn President gói 125g,76000.0,ME,Winmart
MENU0138,Bơ nhạt President gói 125g,76000.0,ME,Winmart
MENU0138,Bơ nhạt President vỉ 10 viên x 10g,67200.0,HOP,Winmart
MENU0138,Phô mai vuông Belcube vị sữa Con Bò Cười gói 125g,65700.0,HOP,Winmart
MENU0138,"Phô mai vị hành, ham  Belcube gói 78g",47300.0,HOP,Winmart
MENU0138,Phô mai vuông vị sữa  Belcube gói 78g,47300.0,HOP,Winmart
MENU0138,Phô mai lát Lavache Quirit gói 200g,68600.0,G1,Winmart
MENU0138,Phô mai Con Bò Cười sandwich Cheddar 200g,67600.0,G1,Winmart
MENU0138,Phô Mai Lát Toast Original Con Bò Cười 200g,68200.0,G1,Winmart
MENU0138,Phô mai Prestige Camebert hộp 125g,76200.0,G1,Winmart
MENU0138,Phô mai Mozzarella hộp 200g,94300.0,G1,Winmart
MENU0138,Phô mai hun khói gói 160g,118800.0,G1,Winmart
MENU0138,Bơ mặn Anchor gói 250g,112000.0,ME,Winmart
MENU0138,Phô mai BegaTasty Grated Cheese 250g,131500.0,G1,Winmart
MENU0138,Phô mai lát Hamburger Zott gói 200g,64600.0,G1,Winmart
MENU0138,Phô mai lát Toast Zott gói 200g,64600.0,G1,Winmart
MENU0138,Bơ lạt Presiden hộp 250g,162200.0,HOP,Winmart
MENU0138,Phô mai lát Sandwich Zott gói 200g,64600.0,G1,Winmart
MENU0138,Phô mai Paysan camembert breton hộp 125g,105000.0,HOP,Winmart
MENU0138,Phô mai Paysan Brie Breton hộp 125g,105000.0,HOP,Winmart
MENU0138,Phô mai Bega Strong & Bitey Vintage 250g,131500.0,G1,Winmart
MENU0138,Phô mai Zelachi cheddar gói 100g,54900.0,G1,Winmart
MENU0138,Phô mai Con Bò Cười Light hộp 120g,38500.0,HOP,Winmart
MENU0138,Phô mai Mozzarella lát Lactima 200g,65300.0,G1,Winmart
MENU0138,Bơ mặn Westgold 250g,116000.0,G1,Winmart
MENU0138, Phô mai Con Bò Cười 8M 112g,37800.0,HOP,Winmart
MENU0138,Phô Mai Con Bò Cười  16 miếng  224g,67600.0,HOP,Winmart
MENU0138,Phô mai Belcube ngọt vị Socola 78gx15C,47000.0,G1,Winmart
MENU0138,Phô mai Belcube ngọt vị Dâu 78g x15C,47000.0,G1,Winmart
MENU0138,Phô mai vị vanilla QBB 90g,79400.0,HOP,Winmart
MENU0138,Phô mai các loại hạt dinh dưỡng QBB 90g,79400.0,HOP,Winmart
MENU0138,Phô mai Mozza Rella bào Kiwifood 200g,70000.0,G1,Winmart
MENU0138,Bơ lạt tự nhiên TH True milk 200g,64700.0,G1,Winmart
MENU0138,Bơ lạt tự nhiên TH TRUE BUTTER  10g*10gói,30800.0,G1,Winmart
MENU0138,Phô mai hun khói đũa Chechil  200g,121900.0,G1,Winmart
MENU0138,Phô mai lát Cheddar Anchor gói 200g,69600.0,G1,Winmart
MENU01161,Sữa đặc có đường Ông Thọ Vinamilk lon 380g,28500.0,HOP,Winmart
MENU01161,"Kem đặc có đường Vinamilk Ngôi Sao Phương Nam hộp 1,284kg",65200.0,HOP,Winmart
MENU01161,Sữa đặc có đường Ông Thọ đỏ lon 380g,26700.0,HOP,Winmart
MENU01161,Sữa đặc có đường nguyên kem Dutch Lady hộp 380g,34400.0,HOP,Winmart
MENU01161,Sữa đặc có đường Hoàn Hảo 380g,21400.0,HOP,Winmart
MENU01161,"Sữa đặc có đường Ông Thọ hộp 1,284kg",83000.0,HOP,Winmart
MENU01161,Sữa Đặc Có Đường Ông Thọ Đỏ Tuýp 165g,21600.0,HOP,Winmart
