,name,price,pricing_unit,supermarket,product_type,weight,price_kg,number_of_units,price_unit,volume,price_lit
6365,"Чай зеленый ПРИНЦЕССА ЯВА Традиционный, 100пак",308.42,100пак,Lenta,green_tea,,,100.0,3.0842,,
6372,"Чай черный DOLCE ALBERO с ароматом кленового сиропа, 20пак",147.36,20пак,Lenta,black_tea,,,20.0,7.368,,
6376,"Чай черный ШАХ GOLD гранулированный, 230г",363.15,230г,Lenta,black_tea,230.0,1578.9130434782608,,,,
6377,"Чай черный ЛИСМА Крепкий лимон, 25пак",78.94,25пак,Lenta,black_tea,,,25.0,3.1576,,
6378,"Чай черный AKBAR Малина и черника, 100пак",441.99,100пак,Lenta,black_tea,,,100.0,4.4199,,
6379,"Чай черный AKBAR Яблоко и шиповник, 100пак",441.99,100пак,Lenta,black_tea,,,100.0,4.4199,,
6382,"Чай зеленый AHMAD TEA Китайский, 100пак",347.39,100пак,Lenta,green_tea,,,100.0,3.4739,,
6383,"Чай черный КРАСНОДАРСКИЙ ГОСТ ЧАЙ РУЧНОЙ СБОР листовой, 100г",184.49,100г,Lenta,black_tea,100.0,1844.9,,,,
6384,"Чай черный КРАСНОДАРСКИЙ ГОСТ ЧАЙ РУЧНОЙ СБОР с лесными ягодами байховый, листовой, 100г",194.99,100г,Lenta,black_tea,100.0,1949.9,,,,
6385,"Чай зеленый КРАСНОДАРСКИЙ ГОСТ ЧАЙ РУЧНОЙ СБОР с жасмином байховый, листовой, 100г",194.99,100г,Lenta,green_tea,100.0,1949.9,,,,
6386,"Чай черный КРАСНОДАРСКИЙ ГОСТ ЧАЙ РУЧНОЙ СБОР с бергамотом байховый, листовой, 100г",205.99,100г,Lenta,black_tea,100.0,2059.9,,,,
6388,"Чай черный CURTIS Delicate Black, 100пак",453.99,100пак,Lenta,black_tea,,,100.0,4.5399,,
6389,"Чай черный CURTIS Elegant Earl Grey, 100пак",453.99,100пак,Lenta,black_tea,,,100.0,4.5399,,
6390,"Чай черный AHMAD TEA Магия манго, 25пак",171.57,25пак,Lenta,black_tea,,,25.0,6.8628,,
6391,"Чай черный AHMAD TEA Raspberry Indulgence, 25пак",187.36,25пак,Lenta,black_tea,,,25.0,7.494400000000001,,
6393,"Чай черный RICHARD Royal Thyme&Rosemary байховый с чабрецом и розмарином, 100пак",492.99,100пак,Lenta,black_tea,,,100.0,4.9299,,
6394,"Чай черный CURTIS Elegant Earl Grey ароматизированный с добавками байховый, 25пак",155.09,25пак,Lenta,black_tea,,,25.0,6.2036,,
6395,"Чай черный CURTIS Delicate Black байховый, 25пак",146.39,25пак,Lenta,black_tea,,,25.0,5.855599999999999,,
6398,"Чай черный АЗЕРЧАЙ Premium collection Traditional, 100пак",487.36,100пак,Lenta,black_tea,,,100.0,4.8736,,
